05AD,0596,֭,֖,HEBREW ACCENT DEHI,BREW ACCENT TIPEHA
FECD,063A,‎ﻍ‎,‎غ‎,ARABIC LETTER GHAIN ISOLATED FORM,ABIC LETTER GHAIN
FCBC,063A 062C,‎ﲼ‎,‎غج‎,ARABIC LIGATURE GHAIN WITH JEEM INITIAL FORM,ABIC LETTER GHAIN, ARABIC LETTER JEEM
FC2B,063A 062C,‎ﰫ‎,‎غج‎,ARABIC LIGATURE GHAIN WITH JEEM ISOLATED FORM,ABIC LETTER GHAIN, ARABIC LETTER JEEM
FCBD,063A 0645,‎ﲽ‎,‎غم‎,ARABIC LIGATURE GHAIN WITH MEEM INITIAL FORM,ABIC LETTER GHAIN, ARABIC LETTER MEEM
FC2C,063A 0645,‎ﰬ‎,‎غم‎,ARABIC LIGATURE GHAIN WITH MEEM ISOLATED FORM,ABIC LETTER GHAIN, ARABIC LETTER MEEM
FD79,063A 0645 0645,‎ﵹ‎,‎غمم‎,ARABIC LIGATURE GHAIN WITH MEEM WITH MEEM FINAL FORM,ABIC LETTER GHAIN, ARABIC LETTER MEEM, ARABIC LETTER MEEM
FD7B,063A 0645 0649,‎ﵻ‎,‎غمى‎,ARABIC LIGATURE GHAIN WITH MEEM WITH ALEF MAKSURA FINAL FORM,ABIC LETTER GHAIN, ARABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
FD7A,063A 0645 0649,‎ﵺ‎,‎غمى‎,ARABIC LIGATURE GHAIN WITH MEEM WITH YEH FINAL FORM,ABIC LETTER GHAIN, ARABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
FD15,063A 0649,‎ﴕ‎,‎غى‎,ARABIC LIGATURE GHAIN WITH ALEF MAKSURA FINAL FORM,ABIC LETTER GHAIN, ARABIC LETTER ALEF MAKSURA
FCF9,063A 0649,‎ﳹ‎,‎غى‎,ARABIC LIGATURE GHAIN WITH ALEF MAKSURA ISOLATED FORM,ABIC LETTER GHAIN, ARABIC LETTER ALEF MAKSURA
FD16,063A 0649,‎ﴖ‎,‎غى‎,ARABIC LIGATURE GHAIN WITH YEH FINAL FORM,ABIC LETTER GHAIN, ARABIC LETTER ALEF MAKSURA
FCFA,063A 0649,‎ﳺ‎,‎غى‎,ARABIC LIGATURE GHAIN WITH YEH ISOLATED FORM,ABIC LETTER GHAIN, ARABIC LETTER ALEF MAKSURA
1EE10,0641,‎𞸐‎,‎ف‎,ARABIC MATHEMATICAL FEH,ABIC LETTER FEH
1EE30,0641,‎𞸰‎,‎ف‎,ARABIC MATHEMATICAL INITIAL FEH,ABIC LETTER FEH
1EE70,0641,‎𞹰‎,‎ف‎,ARABIC MATHEMATICAL STRETCHED FEH,ABIC LETTER FEH
1EE90,0641,‎𞺐‎,‎ف‎,ARABIC MATHEMATICAL LOOPED FEH,ABIC LETTER FEH
1EEB0,0641,‎𞺰‎,‎ف‎,ARABIC MATHEMATICAL DOUBLE-STRUCK FEH,ABIC LETTER FEH
FED3,0641,‎ﻓ‎,‎ف‎,ARABIC LETTER FEH INITIAL FORM,ABIC LETTER FEH
FED4,0641,‎ﻔ‎,‎ف‎,ARABIC LETTER FEH MEDIAL FORM,ABIC LETTER FEH
FED2,0641,‎ﻒ‎,‎ف‎,ARABIC LETTER FEH FINAL FORM,ABIC LETTER FEH
FED1,0641,‎ﻑ‎,‎ف‎,ARABIC LETTER FEH ISOLATED FORM,ABIC LETTER FEH
06A7,0641,‎ڧ‎,‎ف‎,ARABIC LETTER QAF WITH DOT ABOVE,ABIC LETTER FEH
FCBE,0641 062C,‎ﲾ‎,‎فج‎,ARABIC LIGATURE FEH WITH JEEM INITIAL FORM,ABIC LETTER FEH, ARABIC LETTER JEEM
FC2D,0641 062C,‎ﰭ‎,‎فج‎,ARABIC LIGATURE FEH WITH JEEM ISOLATED FORM,ABIC LETTER FEH, ARABIC LETTER JEEM
FCBF,0641 062D,‎ﲿ‎,‎فح‎,ARABIC LIGATURE FEH WITH HAH INITIAL FORM,ABIC LETTER FEH, ARABIC LETTER HAH
FC2E,0641 062D,‎ﰮ‎,‎فح‎,ARABIC LIGATURE FEH WITH HAH ISOLATED FORM,ABIC LETTER FEH, ARABIC LETTER HAH
FCC0,0641 062E,‎ﳀ‎,‎فخ‎,ARABIC LIGATURE FEH WITH KHAH INITIAL FORM,ABIC LETTER FEH, ARABIC LETTER KHAH
FC2F,0641 062E,‎ﰯ‎,‎فخ‎,ARABIC LIGATURE FEH WITH KHAH ISOLATED FORM,ABIC LETTER FEH, ARABIC LETTER KHAH
FD7D,0641 062E 0645,‎ﵽ‎,‎فخم‎,ARABIC LIGATURE FEH WITH KHAH WITH MEEM INITIAL FORM,ABIC LETTER FEH, ARABIC LETTER KHAH, ARABIC LETTER MEEM
FD7C,0641 062E 0645,‎ﵼ‎,‎فخم‎,ARABIC LIGATURE FEH WITH KHAH WITH MEEM FINAL FORM,ABIC LETTER FEH, ARABIC LETTER KHAH, ARABIC LETTER MEEM
FCC1,0641 0645,‎ﳁ‎,‎فم‎,ARABIC LIGATURE FEH WITH MEEM INITIAL FORM,ABIC LETTER FEH, ARABIC LETTER MEEM
FC30,0641 0645,‎ﰰ‎,‎فم‎,ARABIC LIGATURE FEH WITH MEEM ISOLATED FORM,ABIC LETTER FEH, ARABIC LETTER MEEM
FDC1,0641 0645 0649,‎ﷁ‎,‎فمى‎,ARABIC LIGATURE FEH WITH MEEM WITH YEH FINAL FORM,ABIC LETTER FEH, ARABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
FC7C,0641 0649,‎ﱼ‎,‎فى‎,ARABIC LIGATURE FEH WITH ALEF MAKSURA FINAL FORM,ABIC LETTER FEH, ARABIC LETTER ALEF MAKSURA
FC31,0641 0649,‎ﰱ‎,‎فى‎,ARABIC LIGATURE FEH WITH ALEF MAKSURA ISOLATED FORM,ABIC LETTER FEH, ARABIC LETTER ALEF MAKSURA
FC7D,0641 0649,‎ﱽ‎,‎فى‎,ARABIC LIGATURE FEH WITH YEH FINAL FORM,ABIC LETTER FEH, ARABIC LETTER ALEF MAKSURA
FC32,0641 0649,‎ﰲ‎,‎فى‎,ARABIC LIGATURE FEH WITH YEH ISOLATED FORM,ABIC LETTER FEH, ARABIC LETTER ALEF MAKSURA
1EE1E,06A1,‎𞸞‎,‎ڡ‎,ARABIC MATHEMATICAL DOTLESS FEH,ABIC LETTER DOTLESS FEH
1EE7E,06A1,‎𞹾‎,‎ڡ‎,ARABIC MATHEMATICAL STRETCHED DOTLESS FEH,ABIC LETTER DOTLESS FEH
08BB,06A1,‎ࢻ‎,‎ڡ‎,ARABIC LETTER AFRICAN FEH,ABIC LETTER DOTLESS FEH
066F,06A1,‎ٯ‎,‎ڡ‎,ARABIC LETTER DOTLESS QAF,ABIC LETTER DOTLESS FEH
1EE1F,06A1,‎𞸟‎,‎ڡ‎,ARABIC MATHEMATICAL DOTLESS QAF,ABIC LETTER DOTLESS FEH
1EE5F,06A1,‎𞹟‎,‎ڡ‎,ARABIC MATHEMATICAL TAILED DOTLESS QAF,ABIC LETTER DOTLESS FEH
08BC,06A1,‎ࢼ‎,‎ڡ‎,ARABIC LETTER AFRICAN QAF,ABIC LETTER DOTLESS FEH
06A4,06A1 06DB,‎ڤ‎,‎ڡۛ‎,ARABIC LETTER VEH,ABIC LETTER DOTLESS FEH, ARABIC SMALL HIGH THREE DOTS
FB6C,06A1 06DB,‎ﭬ‎,‎ڡۛ‎,ARABIC LETTER VEH INITIAL FORM,ABIC LETTER DOTLESS FEH, ARABIC SMALL HIGH THREE DOTS
FB6D,06A1 06DB,‎ﭭ‎,‎ڡۛ‎,ARABIC LETTER VEH MEDIAL FORM,ABIC LETTER DOTLESS FEH, ARABIC SMALL HIGH THREE DOTS
FB6B,06A1 06DB,‎ﭫ‎,‎ڡۛ‎,ARABIC LETTER VEH FINAL FORM,ABIC LETTER DOTLESS FEH, ARABIC SMALL HIGH THREE DOTS
FB6A,06A1 06DB,‎ﭪ‎,‎ڡۛ‎,ARABIC LETTER VEH ISOLATED FORM,ABIC LETTER DOTLESS FEH, ARABIC SMALL HIGH THREE DOTS
06A8,06A1 06DB,‎ڨ‎,‎ڡۛ‎,ARABIC LETTER QAF WITH THREE DOTS ABOVE,ABIC LETTER DOTLESS FEH, ARABIC SMALL HIGH THREE DOTS
08A4,06A2 06DB,‎ࢤ‎,‎ڢۛ‎,ARABIC LETTER FEH WITH DOT BELOW AND THREE DOTS ABOVE,ABIC LETTER FEH WITH DOT MOVED BELOW, ARABIC SMALL HIGH THREE DOTS
FB70,06A6,‎ﭰ‎,‎ڦ‎,ARABIC LETTER PEHEH INITIAL FORM,ABIC LETTER PEHEH
FB71,06A6,‎ﭱ‎,‎ڦ‎,ARABIC LETTER PEHEH MEDIAL FORM,ABIC LETTER PEHEH
FB6F,06A6,‎ﭯ‎,‎ڦ‎,ARABIC LETTER PEHEH FINAL FORM,ABIC LETTER PEHEH
FB6E,06A6,‎ﭮ‎,‎ڦ‎,ARABIC LETTER PEHEH ISOLATED FORM,ABIC LETTER PEHEH
1EE12,0642,‎𞸒‎,‎ق‎,ARABIC MATHEMATICAL QAF,ABIC LETTER QAF
1EE32,0642,‎𞸲‎,‎ق‎,ARABIC MATHEMATICAL INITIAL QAF,ABIC LETTER QAF
1EE52,0642,‎𞹒‎,‎ق‎,ARABIC MATHEMATICAL TAILED QAF,ABIC LETTER QAF
1EE72,0642,‎𞹲‎,‎ق‎,ARABIC MATHEMATICAL STRETCHED QAF,ABIC LETTER QAF
1EE92,0642,‎𞺒‎,‎ق‎,ARABIC MATHEMATICAL LOOPED QAF,ABIC LETTER QAF
1EEB2,0642,‎𞺲‎,‎ق‎,ARABIC MATHEMATICAL DOUBLE-STRUCK QAF,ABIC LETTER QAF
FED7,0642,‎ﻗ‎,‎ق‎,ARABIC LETTER QAF INITIAL FORM,ABIC LETTER QAF
FED8,0642,‎ﻘ‎,‎ق‎,ARABIC LETTER QAF MEDIAL FORM,ABIC LETTER QAF
FED6,0642,‎ﻖ‎,‎ق‎,ARABIC LETTER QAF FINAL FORM,ABIC LETTER QAF
FED5,0642,‎ﻕ‎,‎ق‎,ARABIC LETTER QAF ISOLATED FORM,ABIC LETTER QAF
FCC2,0642 062D,‎ﳂ‎,‎قح‎,ARABIC LIGATURE QAF WITH HAH INITIAL FORM,ABIC LETTER QAF, ARABIC LETTER HAH
FC33,0642 062D,‎ﰳ‎,‎قح‎,ARABIC LIGATURE QAF WITH HAH ISOLATED FORM,ABIC LETTER QAF, ARABIC LETTER HAH
FDF1,0642 0644 0649,‎ﷱ‎,‎قلى‎,ARABIC LIGATURE QALA USED AS KORANIC STOP SIGN ISOLATED FORM,ABIC LETTER QAF, ARABIC LETTER LAM, ARABIC LETTER ALEF MAKSURA
FCC3,0642 0645,‎ﳃ‎,‎قم‎,ARABIC LIGATURE QAF WITH MEEM INITIAL FORM,ABIC LETTER QAF, ARABIC LETTER MEEM
FC34,0642 0645,‎ﰴ‎,‎قم‎,ARABIC LIGATURE QAF WITH MEEM ISOLATED FORM,ABIC LETTER QAF, ARABIC LETTER MEEM
FDB4,0642 0645 062D,‎ﶴ‎,‎قمح‎,ARABIC LIGATURE QAF WITH MEEM WITH HAH INITIAL FORM,ABIC LETTER QAF, ARABIC LETTER MEEM, ARABIC LETTER HAH
FD7E,0642 0645 062D,‎ﵾ‎,‎قمح‎,ARABIC LIGATURE QAF WITH MEEM WITH HAH FINAL FORM,ABIC LETTER QAF, ARABIC LETTER MEEM, ARABIC LETTER HAH
FD7F,0642 0645 0645,‎ﵿ‎,‎قمم‎,ARABIC LIGATURE QAF WITH MEEM WITH MEEM FINAL FORM,ABIC LETTER QAF, ARABIC LETTER MEEM, ARABIC LETTER MEEM
FDB2,0642 0645 0649,‎ﶲ‎,‎قمى‎,ARABIC LIGATURE QAF WITH MEEM WITH YEH FINAL FORM,ABIC LETTER QAF, ARABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
FC7E,0642 0649,‎ﱾ‎,‎قى‎,ARABIC LIGATURE QAF WITH ALEF MAKSURA FINAL FORM,ABIC LETTER QAF, ARABIC LETTER ALEF MAKSURA
FC35,0642 0649,‎ﰵ‎,‎قى‎,ARABIC LIGATURE QAF WITH ALEF MAKSURA ISOLATED FORM,ABIC LETTER QAF, ARABIC LETTER ALEF MAKSURA
FC7F,0642 0649,‎ﱿ‎,‎قى‎,ARABIC LIGATURE QAF WITH YEH FINAL FORM,ABIC LETTER QAF, ARABIC LETTER ALEF MAKSURA
FC36,0642 0649,‎ﰶ‎,‎قى‎,ARABIC LIGATURE QAF WITH YEH ISOLATED FORM,ABIC LETTER QAF, ARABIC LETTER ALEF MAKSURA
1EE0A,0643,‎𞸊‎,‎ك‎,ARABIC MATHEMATICAL KAF,ABIC LETTER KAF
1EE2A,0643,‎𞸪‎,‎ك‎,ARABIC MATHEMATICAL INITIAL KAF,ABIC LETTER KAF
1EE6A,0643,‎𞹪‎,‎ك‎,ARABIC MATHEMATICAL STRETCHED KAF,ABIC LETTER KAF
FEDB,0643,‎ﻛ‎,‎ك‎,ARABIC LETTER KAF INITIAL FORM,ABIC LETTER KAF
FEDC,0643,‎ﻜ‎,‎ك‎,ARABIC LETTER KAF MEDIAL FORM,ABIC LETTER KAF
FEDA,0643,‎ﻚ‎,‎ك‎,ARABIC LETTER KAF FINAL FORM,ABIC LETTER KAF
FED9,0643,‎ﻙ‎,‎ك‎,ARABIC LETTER KAF ISOLATED FORM,ABIC LETTER KAF
06A9,0643,‎ک‎,‎ك‎,ARABIC LETTER KEHEH,ABIC LETTER KAF
FB90,0643,‎ﮐ‎,‎ك‎,ARABIC LETTER KEHEH INITIAL FORM,ABIC LETTER KAF
FB91,0643,‎ﮑ‎,‎ك‎,ARABIC LETTER KEHEH MEDIAL FORM,ABIC LETTER KAF
FB8F,0643,‎ﮏ‎,‎ك‎,ARABIC LETTER KEHEH FINAL FORM,ABIC LETTER KAF
FB8E,0643,‎ﮎ‎,‎ك‎,ARABIC LETTER KEHEH ISOLATED FORM,ABIC LETTER KAF
06AA,0643,‎ڪ‎,‎ك‎,ARABIC LETTER SWASH KAF,ABIC LETTER KAF
06AD,0643 06DB,‎ڭ‎,‎كۛ‎,ARABIC LETTER NG,ABIC LETTER KAF, ARABIC SMALL HIGH THREE DOTS
FBD5,0643 06DB,‎ﯕ‎,‎كۛ‎,ARABIC LETTER NG INITIAL FORM,ABIC LETTER KAF, ARABIC SMALL HIGH THREE DOTS
FBD6,0643 06DB,‎ﯖ‎,‎كۛ‎,ARABIC LETTER NG MEDIAL FORM,ABIC LETTER KAF, ARABIC SMALL HIGH THREE DOTS
FBD4,0643 06DB,‎ﯔ‎,‎كۛ‎,ARABIC LETTER NG FINAL FORM,ABIC LETTER KAF, ARABIC SMALL HIGH THREE DOTS
FBD3,0643 06DB,‎ﯓ‎,‎كۛ‎,ARABIC LETTER NG ISOLATED FORM,ABIC LETTER KAF, ARABIC SMALL HIGH THREE DOTS
0763,0643 06DB,‎ݣ‎,‎كۛ‎,ARABIC LETTER KEHEH WITH THREE DOTS ABOVE,ABIC LETTER KAF, ARABIC SMALL HIGH THREE DOTS
FC80,0643 006C,‎ﲀ‎,‎كl‎,ARABIC LIGATURE KAF WITH ALEF FINAL FORM,ABIC LETTER KAF, LATIN SMALL LETTER L
FC37,0643 006C,‎ﰷ‎,‎كl‎,ARABIC LIGATURE KAF WITH ALEF ISOLATED FORM,ABIC LETTER KAF, LATIN SMALL LETTER L
FCC4,0643 062C,‎ﳄ‎,‎كج‎,ARABIC LIGATURE KAF WITH JEEM INITIAL FORM,ABIC LETTER KAF, ARABIC LETTER JEEM
FC38,0643 062C,‎ﰸ‎,‎كج‎,ARABIC LIGATURE KAF WITH JEEM ISOLATED FORM,ABIC LETTER KAF, ARABIC LETTER JEEM
FCC5,0643 062D,‎ﳅ‎,‎كح‎,ARABIC LIGATURE KAF WITH HAH INITIAL FORM,ABIC LETTER KAF, ARABIC LETTER HAH
FC39,0643 062D,‎ﰹ‎,‎كح‎,ARABIC LIGATURE KAF WITH HAH ISOLATED FORM,ABIC LETTER KAF, ARABIC LETTER HAH
FCC6,0643 062E,‎ﳆ‎,‎كخ‎,ARABIC LIGATURE KAF WITH KHAH INITIAL FORM,ABIC LETTER KAF, ARABIC LETTER KHAH
FC3A,0643 062E,‎ﰺ‎,‎كخ‎,ARABIC LIGATURE KAF WITH KHAH ISOLATED FORM,ABIC LETTER KAF, ARABIC LETTER KHAH
FCC7,0643 0644,‎ﳇ‎,‎كل‎,ARABIC LIGATURE KAF WITH LAM INITIAL FORM,ABIC LETTER KAF, ARABIC LETTER LAM
FCEB,0643 0644,‎ﳫ‎,‎كل‎,ARABIC LIGATURE KAF WITH LAM MEDIAL FORM,ABIC LETTER KAF, ARABIC LETTER LAM
FC81,0643 0644,‎ﲁ‎,‎كل‎,ARABIC LIGATURE KAF WITH LAM FINAL FORM,ABIC LETTER KAF, ARABIC LETTER LAM
FC3B,0643 0644,‎ﰻ‎,‎كل‎,ARABIC LIGATURE KAF WITH LAM ISOLATED FORM,ABIC LETTER KAF, ARABIC LETTER LAM
FCC8,0643 0645,‎ﳈ‎,‎كم‎,ARABIC LIGATURE KAF WITH MEEM INITIAL FORM,ABIC LETTER KAF, ARABIC LETTER MEEM
FCEC,0643 0645,‎ﳬ‎,‎كم‎,ARABIC LIGATURE KAF WITH MEEM MEDIAL FORM,ABIC LETTER KAF, ARABIC LETTER MEEM
FC82,0643 0645,‎ﲂ‎,‎كم‎,ARABIC LIGATURE KAF WITH MEEM FINAL FORM,ABIC LETTER KAF, ARABIC LETTER MEEM
FC3C,0643 0645,‎ﰼ‎,‎كم‎,ARABIC LIGATURE KAF WITH MEEM ISOLATED FORM,ABIC LETTER KAF, ARABIC LETTER MEEM
FDC3,0643 0645 0645,‎ﷃ‎,‎كمم‎,ARABIC LIGATURE KAF WITH MEEM WITH MEEM INITIAL FORM,ABIC LETTER KAF, ARABIC LETTER MEEM, ARABIC LETTER MEEM
FDBB,0643 0645 0645,‎ﶻ‎,‎كمم‎,ARABIC LIGATURE KAF WITH MEEM WITH MEEM FINAL FORM,ABIC LETTER KAF, ARABIC LETTER MEEM, ARABIC LETTER MEEM
FDB7,0643 0645 0649,‎ﶷ‎,‎كمى‎,ARABIC LIGATURE KAF WITH MEEM WITH YEH FINAL FORM,ABIC LETTER KAF, ARABIC LETTER MEEM, ARABIC LETTER ALEF MAKSURA
FC83,0643 0649,‎ﲃ‎,‎كى‎,ARABIC LIGATURE KAF WITH ALEF MAKSURA FINAL FORM,ABIC LETTER KAF, ARABIC LETTER ALEF MAKSURA
FC3D,0643 0649,‎ﰽ‎,‎كى‎,ARABIC LIGATURE KAF WITH ALEF MAKSURA ISOLATED FORM,ABIC LETTER KAF, ARABIC LETTER ALEF MAKSURA
FC84,0643 0649,‎ﲄ‎,‎كى‎,ARABIC LIGATURE KAF WITH YEH FINAL FORM,ABIC LETTER KAF, ARABIC LETTER ALEF MAKSURA
FC3E,0643 0649,‎ﰾ‎,‎كى‎,ARABIC LIGATURE KAF WITH YEH ISOLATED FORM,ABIC LETTER KAF, ARABIC LETTER ALEF MAKSURA
0762,06AC,‎ݢ‎,‎ڬ‎,ARABIC LETTER KEHEH WITH DOT ABOVE,ABIC LETTER KAF WITH DOT ABOVE
FB94,06AF,‎ﮔ‎,‎گ‎,ARABIC LETTER GAF INITIAL FORM,ABIC LETTER GAF
FB95,06AF,‎ﮕ‎,‎گ‎,ARABIC LETTER GAF MEDIAL FORM,ABIC LETTER GAF
FB93,06AF,‎ﮓ‎,‎گ‎,ARABIC LETTER GAF FINAL FORM,ABIC LETTER GAF
FB92,06AF,‎ﮒ‎,‎گ‎,ARABIC LETTER GAF ISOLATED FORM,ABIC LETTER GAF
08B0,06AF,‎ࢰ‎,‎گ‎,ARABIC LETTER GAF WITH INVERTED STROKE,ABIC LETTER GAF
06B4,06AF 06DB,‎ڴ‎,‎گۛ‎,ARABIC LETTER GAF WITH THREE DOTS ABOVE,ABIC LETTER GAF, ARABIC SMALL HIGH THREE DOTS
FB9C,06B1,‎ﮜ‎,‎ڱ‎,ARABIC LETTER NGOEH INITIAL FORM,ABIC LETTER NGOEH
FB9D,06B1,‎ﮝ‎,‎ڱ‎,ARABIC LETTER NGOEH MEDIAL FORM,ABIC LETTER NGOEH
FB9B,06B1,‎ﮛ‎,‎ڱ‎,ARABIC LETTER NGOEH FINAL FORM,ABIC LETTER NGOEH
FB9A,06B1,‎ﮚ‎,‎ڱ‎,ARABIC LETTER NGOEH ISOLATED FORM,ABIC LETTER NGOEH
FB98,06B3,‎ﮘ‎,‎ڳ‎,ARABIC LETTER GUEH INITIAL FORM,ABIC LETTER GUEH
FB99,06B3,‎ﮙ‎,‎ڳ‎,ARABIC LETTER GUEH MEDIAL FORM,ABIC LETTER GUEH
FB97,06B3,‎ﮗ‎,‎ڳ‎,ARABIC LETTER GUEH FINAL FORM,ABIC LETTER GUEH
FB96,06B3,‎ﮖ‎,‎ڳ‎,ARABIC LETTER GUEH ISOLATED FORM,ABIC LETTER GUEH
1EE0B,0644,‎𞸋‎,‎ل‎,ARABIC MATHEMATICAL LAM,ABIC LETTER LAM
1EE2B,0644,‎𞸫‎,‎ل‎,ARABIC MATHEMATICAL INITIAL LAM,ABIC LETTER LAM
1EE4B,0644,‎𞹋‎,‎ل‎,ARABIC MATHEMATICAL TAILED LAM,ABIC LETTER LAM
1EE8B,0644,‎𞺋‎,‎ل‎,ARABIC MATHEMATICAL LOOPED LAM,ABIC LETTER LAM
1EEAB,0644,‎𞺫‎,‎ل‎,ARABIC MATHEMATICAL DOUBLE-STRUCK LAM,ABIC LETTER LAM
FEDF,0644,‎ﻟ‎,‎ل‎,ARABIC LETTER LAM INITIAL FORM,ABIC LETTER LAM
FEE0,0644,‎ﻠ‎,‎ل‎,ARABIC LETTER LAM MEDIAL FORM,ABIC LETTER LAM
FEDE,0644,‎ﻞ‎,‎ل‎,ARABIC LETTER LAM FINAL FORM,ABIC LETTER LAM
FEDD,0644,‎ﻝ‎,‎ل‎,ARABIC LETTER LAM ISOLATED FORM,ABIC LETTER LAM
06B7,0644 06DB,‎ڷ‎,‎لۛ‎,ARABIC LETTER LAM WITH THREE DOTS ABOVE,ABIC LETTER LAM, ARABIC SMALL HIGH THREE DOTS
06B5,0644 0306,‎ڵ‎,‎ل̆‎,ARABIC LETTER LAM WITH SMALL V,ABIC LETTER LAM, COMBINING BREVE
FEFC,0644 006C,‎ﻼ‎,‎لl‎,ARABIC LIGATURE LAM WITH ALEF FINAL FORM,ABIC LETTER LAM, LATIN SMALL LETTER L
FEFB,0644 006C,‎ﻻ‎,‎لl‎,ARABIC LIGATURE LAM WITH ALEF ISOLATED FORM,ABIC LETTER LAM, LATIN SMALL LETTER L
FEFA,0644 006C 0655,‎ﻺ‎,‎لlٕ‎,ARABIC LIGATURE LAM WITH ALEF WITH HAMZA BELOW FINAL FORM,ABIC LETTER LAM, LATIN SMALL LETTER L, ARABIC HAMZA BELOW
FEF9,0644 006C 0655,‎ﻹ‎,‎لlٕ‎,ARABIC LIGATURE LAM WITH ALEF WITH HAMZA BELOW ISOLATED FORM,ABIC LETTER LAM, LATIN SMALL LETTER L, ARABIC HAMZA BELOW
FEF8,0644 006C 0674,‎ﻸ‎,‎لlٴ‎,ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE FINAL FORM,ABIC LETTER LAM, LATIN SMALL LETTER L, ARABIC LETTER HIGH HAMZA
FEF7,0644 006C 0674,‎ﻷ‎,‎لlٴ‎,ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE ISOLATED FORM,ABIC LETTER LAM, LATIN SMALL LETTER L, ARABIC LETTER HIGH HAMZA
FCCD,0644 006F,‎ﳍ‎,‎لo‎,ARABIC LIGATURE LAM WITH HEH INITIAL FORM,ABIC LETTER LAM, LATIN SMALL LETTER O
FEF6,0644 0622,‎ﻶ‎,‎لآ‎,ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE FINAL FORM,ABIC LETTER LAM, ARABIC LETTER ALEF WITH MADDA ABOVE
FEF5,0644 0622,‎ﻵ‎,‎لآ‎,ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE ISOLATED FORM,ABIC LETTER LAM, ARABIC LETTER ALEF WITH MADDA ABOVE
FCC9,0644 062C,‎ﳉ‎,‎لج‎,ARABIC LIGATURE LAM WITH JEEM INITIAL FORM,ABIC LETTER LAM, ARABIC LETTER JEEM
FC3F,0644 062C,‎ﰿ‎,‎لج‎,ARABIC LIGATURE LAM WITH JEEM ISOLATED FORM,ABIC LETTER LAM, ARABIC LETTER JEEM
FD83,0644 062C 062C,‎ﶃ‎,‎لجج‎,ARABIC LIGATURE LAM WITH JEEM WITH JEEM INITIAL FORM,ABIC LETTER LAM, ARABIC LETTER JEEM, ARABIC LETTER JEEM
FD84,0644 062C 062C,‎ﶄ‎,‎لجج‎,ARABIC LIGATURE LAM WITH JEEM WITH JEEM FINAL FORM,ABIC LETTER LAM, ARABIC LETTER JEEM, ARABIC LETTER JEEM
FDBA,0644 062C 0645,‎ﶺ‎,‎لجم‎,ARABIC LIGATURE LAM WITH JEEM WITH MEEM INITIAL FORM,ABIC LETTER LAM, ARABIC LETTER JEEM, ARABIC LETTER MEEM
FDBC,0644 062C 0645,‎ﶼ‎,‎لجم‎,ARABIC LIGATURE LAM WITH JEEM WITH MEEM FINAL FORM,ABIC LETTER LAM, ARABIC LETTER JEEM, ARABIC LETTER MEEM
FDAC,0644 062C 0649,‎ﶬ‎,‎لجى‎,ARABIC LIGATURE LAM WITH JEEM WITH YEH FINAL FORM,ABIC LETTER LAM, ARABIC LETTER JEEM, ARABIC LETTER ALEF MAKSURA
FCCA,0644 062D,‎ﳊ‎,‎لح‎,ARABIC LIGATURE LAM WITH HAH INITIAL FORM,ABIC LETTER LAM, ARABIC LETTER HAH
FC40,0644 062D,‎ﱀ‎,‎لح‎,ARABIC LIGATURE LAM WITH HAH ISOLATED FORM,ABIC LETTER LAM, ARABIC LETTER HAH
FDB5,0644 062D 0645,‎ﶵ‎,‎لحم‎,ARABIC LIGATURE LAM WITH HAH WITH MEEM INITIAL FORM,ABIC LETTER LAM, ARABIC LETTER HAH, ARABIC LETTER MEEM
FD80,0644 062D 0645,‎ﶀ‎,‎لحم‎,ARABIC LIGATURE LAM WITH HAH WITH MEEM FINAL FORM,ABIC LETTER LAM, ARABIC LETTER HAH, ARABIC LETTER MEEM
FD82,0644 062D 0649,‎ﶂ‎,‎لحى‎,ARABIC LIGATURE LAM WITH HAH WITH ALEF MAKSURA FINAL FORM,ABIC LETTER LAM, ARABIC LETTER HAH, ARABIC LETTER ALEF MAKSURA
FD81,0644 062D 0649,‎ﶁ‎,‎لحى‎,ARABIC LIGATURE LAM WITH HAH WITH YEH FINAL FORM,ABIC LETTER LAM, ARABIC LETTER HAH, ARABIC LETTER ALEF MAKSURA
FCCB,0644 062E,‎ﳋ‎,‎لخ‎,ARABIC LIGATURE LAM WITH KHAH INITIAL FORM,ABIC LETTER LAM, ARABIC LETTER KHAH
FC41,0644 062E,‎ﱁ‎,‎لخ‎,ARABIC LIGATURE LAM WITH KHAH ISOLATED FORM,ABIC LETTER LAM, ARABIC LETTER KHAH
FD86,0644 062E 0645,‎ﶆ‎,‎لخم‎,ARABIC LIGATURE LAM WITH KHAH WITH MEEM INITIAL FORM,ABIC LETTER LAM, ARABIC LETTER KHAH, ARABIC LETTER MEEM
FD85,0644 062E 0645,‎ﶅ‎,‎لخم‎,ARABIC LIGATURE LAM WITH KHAH WITH MEEM FINAL FORM,ABIC LETTER LAM, ARABIC LETTER KHAH, ARABIC LETTER MEEM
